gene,name
A1BG,V_1
A1CF,V_2
A2M,V_3
A2ML1,V_4
A4GALT,V_5
A4GNT,V_6
AAAS,V_7
AACS,V_8
AADAC,V_9
AADACL2,V_10
AADACL3,V_11
AADACL4,V_12
AADAT,V_13
AAGAB,V_14
AAK1,V_15
AAMP,V_16
AANAT,V_17
AAR2,V_18
AARS,V_19
AARS2,V_20
AASDH,V_21
AASDHPPT,V_22
AASS,V_23
AATF,V_24
AATK,V_25
ABAT,V_26
ABCA1,V_27
ABCA10,V_28
ABCA12,V_29
ABCA13,V_30
ABCA2,V_31
ABCA3,V_32
ABCA4,V_33
ABCA5,V_34
ABCA6,V_35
ABCA7,V_36
ABCA8,V_37
ABCA9,V_38
ABCB1,V_39
ABCB10,V_40
ABCB11,V_41
ABCB4,V_42
ABCB5,V_43
ABCB6,V_44
ABCB7,V_45
ABCB8,V_46
ABCB9,V_47
ABCC1,V_48
ABCC10,V_49
ABCC11,V_50
ABCC12,V_51
ABCC2,V_52
ABCC3,V_53
ABCC4,V_54
ABCC5,V_55
ABCC6,V_56
ABCC8,V_57
ABCC9,V_58
ABCD1,V_59
ABCD2,V_60
ABCD3,V_61
ABCD4,V_62
ABCE1,V_63
ABCF1,V_64
ABCF2,V_65
ABCF3,V_66
ABCG1,V_67
ABCG2,V_68
ABCG4,V_69
ABCG5,V_70
ABCG8,V_71
ABHD1,V_72
ABHD10,V_73
ABHD12,V_74
ABHD12B,V_75
ABHD13,V_76
ABHD14A-ACY1,V_77
ABHD14B,V_78
ABHD16A,V_79
ABHD16B,V_80
ABHD17AP6,V_81
ABHD17B,V_82
ABHD2,V_83
ABHD3,V_84
ABHD4,V_85
ABHD5,V_86
ABI2,V_87
ABI3,V_88
ABI3BP,V_89
ABL1,V_90
ABL2,V_91
ABLIM1,V_92
ABLIM2,V_93
ABLIM3,V_94
ABR,V_95
ABRA,V_96
ABT1,V_97
ABTB1,V_98
ABTB2,V_99
AC003958.2,V_100
AC004381.6,V_101
AC004987.9,V_102
AC005017.2,V_103
AC005251.3,V_104
AC009264.1,V_105
AC010203.1,V_106
AC010731.4,V_107
AC011467.1,V_108
AC015849.16,V_109
AC024560.3,V_110
AC027612.6,V_111
AC061975.1,V_112
AC073310.4,V_113
AC073869.1,V_114
AC073869.20,V_115
AC078899.1,V_116
AC080008.1,V_117
AC083899.3,V_118
AC090825.1,V_119
AC091565.1,V_120
AC092017.1,V_121
AC092071.1,V_122
AC093838.4,V_123
AC096579.13,V_124
AC116165.1,V_125
AC124312.1,V_126
AC126323.1,V_127
ACAA2,V_128
ACACA,V_129
ACACB,V_130
ACAD10,V_131
ACAD11,V_132
ACAD8,V_133
ACAD9,V_134
ACADL,V_135
ACADM,V_136
ACADS,V_137
ACADVL,V_138
ACAN,V_139
ACAP1,V_140
ACAP2,V_141
ACAP3,V_142
ACAT1,V_143
ACAT2,V_144
ACBD4,V_145
ACBD5,V_146
ACCS,V_147
ACCSL,V_148
ACD,V_149
ACE,V_150
ACE2,V_151
ACER1,V_152
ACER2,V_153
ACER3,V_154
ACHE,V_155
ACIN1,V_156
ACKR1,V_157
ACKR2,V_158
ACKR3,V_159
ACKR4,V_160
ACLY,V_161
ACMSD,V_162
ACO1,V_163
ACO2,V_164
ACOT11,V_165
ACOT12,V_166
ACOT4,V_167
ACOT6,V_168
ACOT7,V_169
ACOT8,V_170
ACOT9,V_171
ACOX1,V_172
ACOX2,V_173
ACOX3,V_174
ACOXL,V_175
ACP1,V_176
ACP2,V_177
ACP5,V_178
ACPP,V_179
ACPT,V_180
ACR,V_181
ACRBP,V_182
ACRC,V_183
ACRV1,V_184
ACSBG1,V_185
ACSBG2,V_186
ACSF2,V_187
ACSF3,V_188
ACSL1,V_189
ACSL3,V_190
ACSL4,V_191
ACSL5,V_192
ACSL6,V_193
ACSM1,V_194
ACSM2A,V_195
ACSM2B,V_196
ACSM3,V_197
ACSM4,V_198
ACSM5,V_199
ACSS1,V_200
ACSS2,V_201
ACSS3,V_202
ACTA1,V_203
ACTA2,V_204
ACTB,V_205
ACTBL2,V_206
ACTC1,V_207
ACTG1,V_208
ACTG2,V_209
ACTL6A,V_210
ACTL6B,V_211
ACTL7A,V_212
ACTL7B,V_213
ACTL8,V_214
ACTL9,V_215
ACTN1,V_216
ACTN2,V_217
ACTN3,V_218
ACTN4,V_219
ACTR10,V_220
ACTR1A,V_221
ACTR3,V_222
ACTR3B,V_223
ACTR5,V_224
ACTR6,V_225
ACTR8,V_226
ACTRT1,V_227
ACTRT2,V_228
ACTRT3,V_229
ACVR1,V_230
ACVR1B,V_231
ACVR1C,V_232
ACVR2A,V_233
ACVR2B,V_234
ACVRL1,V_235
ACY3,V_236
ADA,V_237
ADAD1,V_238
ADAD2,V_239
ADAL,V_240
ADAM10,V_241
ADAM11,V_242
ADAM12,V_243
ADAM15,V_244
ADAM17,V_245
ADAM18,V_246
ADAM19,V_247
ADAM2,V_248
ADAM20,V_249
ADAM21,V_250
ADAM21P1,V_251
ADAM22,V_252
ADAM23,V_253
ADAM28,V_254
ADAM29,V_255
ADAM30,V_256
ADAM32,V_257
ADAM33,V_258
ADAM7,V_259
ADAM8,V_260
ADAM9,V_261
ADAMDEC1,V_262
ADAMTS1,V_263
ADAMTS10,V_264
ADAMTS12,V_265
ADAMTS13,V_266
ADAMTS14,V_267
ADAMTS15,V_268
ADAMTS16,V_269
ADAMTS17,V_270
ADAMTS18,V_271
ADAMTS19,V_272
ADAMTS2,V_273
ADAMTS20,V_274
ADAMTS3,V_275
ADAMTS4,V_276
ADAMTS5,V_277
ADAMTS6,V_278
ADAMTS7,V_279
ADAMTS8,V_280
ADAMTS9,V_281
ADAMTSL1,V_282
ADAMTSL2,V_283
ADAMTSL3,V_284
ADAMTSL4,V_285
ADAMTSL5,V_286
ADAP2,V_287
ADAR,V_288
ADARB1,V_289
ADARB2,V_290
ADAT1,V_291
ADCK1,V_292
ADCK2,V_293
ADCK3,V_294
ADCK4,V_295
ADCY1,V_296
ADCY10,V_297
ADCY2,V_298
ADCY3,V_299
ADCY4,V_300
ADCY5,V_301
ADCY6,V_302
ADCY7,V_303
ADCY8,V_304
ADCY9,V_305
ADCYAP1,V_306
ADCYAP1R1,V_307
ADD1,V_308
ADD2,V_309
ADD3,V_310
ADGB,V_311
ADGRA1,V_312
ADGRA2,V_313
ADGRA3,V_314
ADGRB1,V_315
ADGRB2,V_316
ADGRB3,V_317
ADGRD1,V_318
ADGRE1,V_319
ADGRE2,V_320
ADGRE3,V_321
ADGRE4P,V_322
ADGRE5,V_323
ADGRF1,V_324
ADGRF2,V_325
ADGRF3,V_326
ADGRF4,V_327
ADGRF5,V_328
ADGRG1,V_329
ADGRG2,V_330
ADGRG3,V_331
ADGRG4,V_332
ADGRG5,V_333
ADGRG6,V_334
ADGRG7,V_335
ADGRL1,V_336
ADGRL2,V_337
ADGRL3,V_338
ADGRL4,V_339
ADGRV1,V_340
ADH1A,V_341
ADH1B,V_342
ADH1C,V_343
ADH5,V_344
ADH6,V_345
ADH7,V_346
ADHFE1,V_347
ADI1,V_348
ADIPOR1,V_349
ADNP,V_350
ADNP2,V_351
ADO,V_352
ADORA1,V_353
ADORA2A,V_354
ADORA3,V_355
ADPGK,V_356
ADPRH,V_357
ADPRHL1,V_358
ADPRHL2,V_359
ADPRM,V_360
ADRA1A,V_361
ADRA1B,V_362
ADRA1D,V_363
ADRA2A,V_364
ADRA2B,V_365
ADRA2C,V_366
ADRB2,V_367
ADRB3,V_368
ADRBK1,V_369
ADRBK2,V_370
ADRM1,V_371
ADSL,V_372
ADSS,V_373
ADSSL1,V_374
ADTRP,V_375
AEBP1,V_376
AEBP2,V_377
AF254983.1,V_378
AFAP1,V_379
AFAP1L1,V_380
AFAP1L2,V_381
AFF1,V_382
AFF2,V_383
AFF3,V_384
AFF4,V_385
AFG3L2,V_386
AFM,V_387
AFMID,V_388
AFP,V_389
AFTPH,V_390
AGA,V_391
AGAP1,V_392
AGAP2,V_393
AGAP3,V_394
AGAP4,V_395
AGAP5,V_396
AGAP6,V_397
AGAP7P,V_398
AGAP9,V_399
AGBL1,V_400
AGBL2,V_401
AGBL5,V_402
AGFG1,V_403
AGFG2,V_404
AGGF1,V_405
AGK,V_406
AGL,V_407
AGMO,V_408
AGO1,V_409
AGO2,V_410
AGO3,V_411
AGO4,V_412
AGPAT1,V_413
AGPAT3,V_414
AGPAT4,V_415
AGPAT6,V_416
AGPAT9,V_417
AGPS,V_418
AGRN,V_419
AGT,V_420
